yearID,teamID,lgID,playerID,g_all,GS
2011,HOU,NL,abadfe01,29,0
2011,LAA,AL,abreubo01,142,135
2011,HOU,NL,abreuju01,7,0
2011,BAL,AL,accarje01,31,0
2011,BOS,AL,aceveal01,55,4
2011,SEA,AL,ackledu01,90,87
2011,NYN,NL,acostma01,44,0
2011,SDN,NL,adamsmi03,49,0
2011,TEX,AL,adamsmi03,27,0
2011,BAL,AL,adamsry01,29,24
2011,KCA,AL,adcocna01,24,3
2011,SFN,NL,affelje01,67,0
2011,BOS,AL,alberma01,56,0
2011,DET,AL,albural01,41,0
2011,COL,NL,alfonel01,25,18
2011,ARI,NL,allenbr01,11,9
2011,OAK,AL,allenbr01,41,40
2011,MIL,NL,almoner01,16,6
2011,CIN,NL,alonsyo01,47,16
2011,HOU,NL,altuvjo01,57,51
2011,TOR,AL,alvarhe01,10,10
2011,PIT,NL,alvarpe01,74,62
2011,LAA,AL,amarial01,23,13
2011,COL,NL,amezaal01,20,6
2011,FLO,NL,amezaal01,20,10
2011,OAK,AL,anderbr04,13,13
2011,BOS,AL,anderla03,6,0
2011,BAL,AL,andinro01,139,126
2011,TEX,AL,andruel01,150,143
2011,BAL,AL,anglema01,31,20
2011,WAS,NL,ankieri01,122,90
2011,TOR,AL,arencjp01,129,122
2011,CIN,NL,arredjo01,53,0
2011,BAL,AL,arrieja01,22,22
2011,CIN,NL,arroybr01,36,32
2011,PIT,NL,ascanjo01,8,0
2011,BOS,AL,atchisc01,17,0
2011,BAL,AL,atkinmi01,3,3
2011,SLN,NL,augenbr01,5,0
2011,DET,AL,avilaal01,141,135
2011,BOS,AL,avilemi01,38,23
2011,KCA,AL,avilemi01,53,44
2011,CHA,AL,axelrdy01,4,3
2011,MIL,NL,axforjo01,74,0
2011,NYA,AL,ayalalu01,52,0
2011,LAA,AL,aybarer01,143,142
2011,FLO,NL,badenbu01,50,0
2011,PHI,NL,baezda01,29,0
2011,OAK,AL,bailean01,42,0
2011,CIN,NL,baileho02,23,22
2011,CHN,NL,bakerje03,81,45
2011,FLO,NL,bakerjo01,16,0
2011,MIN,AL,bakersc02,23,21
2011,WAS,NL,balesco01,23,0
2011,OAK,AL,balfogr01,62,0
2011,LAN,NL,barajro01,98,85
2011,BOS,AL,bardda01,70,0
2011,SEA,AL,bardjo01,26,24
2011,HOU,NL,barmecl01,123,120
2011,CHN,NL,barneda01,143,128
2011,SDN,NL,bartlja01,139,136
2011,OAK,AL,bartoda02,67,62
2011,SDN,NL,bassan01,27,3
2011,PHI,NL,bastaan01,64,0
2011,NYN,NL,batismi01,9,4
2011,SLN,NL,batismi01,26,1
2011,TOR,AL,bautijo02,149,149
2011,NYN,NL,baxtemi01,22,7
2011,NYN,NL,bayja01,123,121
2011,ATL,NL,beachbr01,25,25
2011,NYN,NL,beatope01,60,0
2011,SEA,AL,beavabl01,15,15
2011,TOR,AL,beckch01,3,0
2011,BOS,AL,beckejo02,30,30
2011,CHA,AL,beckhgo01,150,147
2011,BOS,AL,bedarer01,8,8
2011,SEA,AL,bedarer01,16,16
2011,PIT,NL,beimejo01,35,0
2011,COL,NL,belisma01,74,0
2011,SDN,NL,bellhe01,64,0
2011,BAL,AL,belljo01,26,16
2011,LAA,AL,belltr01,19,0
2011,DET,AL,belowdu01,14,2
2011,SFN,NL,beltbr01,63,50
2011,TEX,AL,beltrad01,124,123
2011,NYN,NL,beltrca01,98,94
2011,SFN,NL,beltrca01,44,43
2011,DET,AL,benoijo01,66,0
2011,MIN,AL,bensojo01,21,19
2011,BAL,AL,bergebr02,34,12
2011,CHN,NL,bergju01,8,0
2011,BAL,AL,berkeja01,40,0
2011,SLN,NL,berkmla01,145,141
2011,WAS,NL,bernaro01,91,71
2011,NYA,AL,betande01,2,1
2011,COL,NL,betanra01,68,0
2011,MIL,NL,betanyu01,152,146
2011,DET,AL,betemwi01,40,34
2011,KCA,AL,betemwi01,57,52
2011,COL,NL,billibr02,1,0
2011,OAK,AL,billibr02,3,0
2011,LAN,NL,billich01,32,32
2011,WAS,NL,bixlebr01,79,15
2011,COL,NL,blackch02,27,25
2011,MIN,AL,blackni01,26,26
2011,LAN,NL,blakeca01,63,51
